H2,O2,N2,CH4,CO,CO2,C2H4
0.00093343,0,1.16996692,0.00247373,0.0217116,0,0
0,0,0.63237219,0,0,0,0
0.01292684,0,0.4915455,0,0.00946644,0,0
0.0186761,0,0.38321005,0,0.01222547,0,0
0.13925293,0,0.33767602,0,0.00665316,0,0
0.18260992,0,0.33375435,0,0.00082972,0,0
0.18792209,0,0.32392125,0,0,0,0
0.18943287,0,0.31936866,0,0,0,0
0.18140519,0,0.31835101,0,0,0,0
0.17608415,0,0.31433458,0,0,0,0
0.17027589,0,0.31304999,0,0,0,0
0.08209276,0,0.31126111,0,0,0,0
0.0220637,0,0.31182871,0,0,0,0
0.00703207,0,0.34749729,0,0.00625174,0,0
0.00348264,0,0.31676895,0,0.00274606,0,0
0.00213985,0,0.34242995,0.01446745,0.00764614,0,0
